Job name,Duration,Time of execution,Result
AMS.IntegrationTests,205138,2016-11-21T08:59:50Z,SUCCESS
AMS.IntegrationTests,77639,2016-11-21T08:08:01Z,SUCCESS
AMS.IntegrationTests,81053,2016-11-18T14:58:35Z,SUCCESS
AMS.IntegrationTests,114947,2016-11-18T11:31:36Z,SUCCESS
AMS.IntegrationTests,69802,2016-11-18T10:23:58Z,SUCCESS
AMS.IntegrationTests,65154,2016-11-18T10:16:10Z,SUCCESS
AMS.IntegrationTests,75036,2016-11-17T16:17:59Z,SUCCESS
AMS.IntegrationTests,110535,2016-11-17T14:42:45Z,SUCCESS
AMS.IntegrationTests,80672,2016-11-17T14:10:55Z,SUCCESS
AMS.SmokeTest,84569,2016-12-22T09:34:58Z,SUCCESS
AMS.SmokeTest,66961,2016-12-22T09:30:37Z,SUCCESS
AMS.SmokeTest,64013,2016-12-21T15:47:13Z,SUCCESS
AMS.SmokeTest,70516,2016-12-21T15:16:02Z,SUCCESS
AMS.SmokeTest,70743,2016-12-21T14:37:49Z,SUCCESS
AMS.SmokeTest,92604,2016-12-21T13:56:18Z,SUCCESS
AMS.SmokeTest,67549,2016-12-21T13:47:06Z,SUCCESS
AMS.SmokeTest,77539,2016-12-21T08:19:29Z,SUCCESS
AMS.SmokeTest,80975,2016-12-21T08:14:06Z,SUCCESS
AMS.SmokeTest,81080,2016-12-19T16:34:25Z,SUCCESS
AMS.SmokeTest,66321,2016-12-19T16:29:57Z,SUCCESS
AMS.SmokeTest,69669,2016-12-15T14:24:28Z,SUCCESS
AMS.SmokeTest,77864,2016-12-14T10:52:03Z,SUCCESS
AMS.SmokeTest,87919,2016-12-14T09:47:25Z,SUCCESS
AMS.SmokeTest,88489,2016-12-14T09:43:44Z,SUCCESS
AMS.SmokeTest,100355,2016-12-13T12:02:17Z,SUCCESS
AMS.SmokeTest,87472,2016-12-13T11:58:24Z,SUCCESS
AMS.SmokeTest,93731,2016-12-13T11:32:39Z,SUCCESS
AMS.SmokeTest,85556,2016-12-13T11:28:02Z,SUCCESS
AMS.SmokeTest,79900,2016-12-12T16:29:19Z,SUCCESS
AMS.SmokeTest,70039,2016-12-12T16:02:37Z,SUCCESS
AMS.SmokeTest,80296,2016-12-12T11:03:52Z,SUCCESS
AMS.SmokeTest,72085,2016-12-12T08:32:34Z,SUCCESS
AMS.SmokeTest,64122,2016-12-07T11:04:41Z,SUCCESS
AMS.SmokeTest,82134,2016-12-06T13:56:11Z,SUCCESS
AMS.SmokeTest,80651,2016-12-06T13:48:44Z,SUCCESS
AMS.SmokeTest,95264,2016-12-02T11:57:13Z,SUCCESS
AMS.SmokeTest,89191,2016-12-02T11:53:37Z,SUCCESS
AMS.SmokeTest,81462,2016-12-02T11:50:20Z,SUCCESS
AMS.SmokeTest,67832,2016-12-02T11:22:20Z,SUCCESS
AMS.SmokeTest,89843,2016-12-01T10:01:24Z,SUCCESS
AMS.SmokeTest,79388,2016-12-01T09:56:32Z,SUCCESS
AMS.SmokeTest,85483,2016-11-30T15:57:06Z,SUCCESS
AMS.SmokeTest,83998,2016-11-30T14:16:41Z,SUCCESS
AMS.SmokeTest,84683,2016-11-30T11:41:51Z,SUCCESS
AMS.SmokeTest,72920,2016-11-30T11:40:38Z,SUCCESS
AMS.SmokeTest,88368,2016-11-30T10:32:58Z,SUCCESS
AMS.SmokeTest,70538,2016-11-30T10:31:48Z,SUCCESS
AMS.SmokeTest,62953,2016-11-30T09:01:45Z,SUCCESS
AMS.SmokeTest,84304,2016-11-29T10:15:20Z,SUCCESS
AMS.SmokeTest,59426,2016-11-29T09:29:54Z,SUCCESS
AMS.SmokeTest,87373,2016-11-25T12:17:41Z,SUCCESS
AMS.SmokeTest,79067,2016-11-24T15:52:39Z,SUCCESS
AMS.SmokeTest,76619,2016-11-23T09:16:05Z,SUCCESS
AMS.SmokeTest,84985,2016-11-23T09:09:30Z,SUCCESS
AMS.SmokeTest,59505,2016-11-22T16:12:24Z,SUCCESS
AMS.SmokeTest,77358,2016-11-22T16:11:07Z,SUCCESS
AMS.SmokeTest,62884,2016-11-22T16:08:09Z,SUCCESS
AMS.SmokeTest,52406,2016-11-22T15:26:25Z,SUCCESS
AMS.SmokeTest,75508,2016-11-22T15:00:47Z,SUCCESS
AMS.SmokeTest,64146,2016-11-22T13:49:34Z,SUCCESS
AMS.SmokeTest,71759,2016-11-22T12:06:05Z,SUCCESS
AMS.SmokeTest,85459,2016-11-22T10:45:16Z,SUCCESS
AMS.SmokeTest,74919,2016-11-22T10:38:57Z,SUCCESS
AMS.SmokeTest,74340,2016-11-22T08:47:10Z,SUCCESS
AMS.SmokeTest,74569,2016-11-21T16:04:21Z,SUCCESS
AMS.SmokeTest,68595,2016-11-21T11:38:18Z,SUCCESS
AMS.SmokeTest,74395,2016-11-21T10:31:10Z,SUCCESS
AMS.SmokeTest,70864,2016-11-21T10:09:10Z,SUCCESS
AMS.SmokeTest,253877,2016-11-21T09:30:35Z,SUCCESS
AMS.SmokeTest,61946,2016-11-21T09:18:59Z,SUCCESS
AMS.SmokeTest,81838,2016-11-21T08:45:30Z,SUCCESS
AMS.SmokeTest,70614,2016-11-21T08:11:53Z,SUCCESS
AMS.SmokeTest,58269,2016-11-18T13:32:43Z,SUCCESS
AMS.SmokeTest,61362,2016-11-17T16:49:49Z,SUCCESS
AMS.SmokeTest,79686,2016-11-17T15:14:11Z,SUCCESS
AMS.SmokeTest,61416,2016-11-17T15:13:09Z,SUCCESS
AMS.SmokeTest,59120,2016-11-17T14:22:31Z,SUCCESS
AMS.SmokeTest,57699,2016-11-17T08:53:41Z,SUCCESS
AMS.SmokeTest,59621,2016-11-16T14:43:41Z,SUCCESS
AMS.SmokeTest,70494,2016-11-16T12:53:39Z,SUCCESS
AMS.SmokeTest,79893,2016-11-16T11:26:44Z,SUCCESS
AMS.SmokeTest,83685,2016-11-16T11:22:17Z,SUCCESS
AMS.SmokeTest,72294,2016-11-16T10:47:52Z,SUCCESS
AMS.SmokeTest,64267,2016-11-16T10:29:28Z,SUCCESS
AMS.SmokeTest,62703,2016-11-15T14:49:28Z,SUCCESS
AMS.SmokeTest,64815,2016-11-15T11:40:16Z,SUCCESS
AMS.SmokeTest,71907,2016-11-15T11:28:09Z,SUCCESS
AMS.SmokeTest,67996,2016-11-15T11:21:13Z,SUCCESS
AMS.SmokeTest,73792,2016-11-15T09:46:31Z,SUCCESS
AMS.SmokeTest,69985,2016-11-15T09:32:27Z,SUCCESS
AMS.SmokeTest,59239,2016-11-14T14:56:23Z,SUCCESS
AMS.SmokeTest,57205,2016-11-11T10:20:14Z,SUCCESS
AMS.SmokeTest,59338,2016-11-10T10:53:32Z,SUCCESS
AMS.SmokeTest,76935,2016-11-10T09:55:42Z,SUCCESS
AMS.SmokeTest,81604,2016-11-10T09:47:44Z,SUCCESS
AMS.SmokeTest,72878,2016-11-10T08:40:08Z,SUCCESS
AMS.UnitTests,125645,2016-12-21T15:31:19Z,SUCCESS
AMS.UnitTests,136708,2016-12-21T15:01:03Z,SUCCESS
AMS.UnitTests,262554,2016-12-21T14:41:32Z,SUCCESS
AMS.UnitTests,136246,2016-12-21T14:37:17Z,SUCCESS
AMS.UnitTests,139505,2016-12-21T14:19:21Z,SUCCESS
AMS.UnitTests,141488,2016-12-21T13:24:06Z,SUCCESS
AMS.UnitTests,122875,2016-12-21T13:14:01Z,SUCCESS
AMS.UnitTests,121983,2016-12-21T12:17:20Z,SUCCESS
AMS.UnitTests,328455,2016-12-21T11:52:33Z,SUCCESS
AMS.UnitTests,142663,2016-12-21T09:06:38Z,SUCCESS
AMS.UnitTests,296918,2016-12-20T16:24:05Z,SUCCESS
AMS.UnitTests,123587,2016-12-20T10:40:50Z,SUCCESS
AMS.UnitTests,325811,2016-12-19T15:54:17Z,SUCCESS
AMS.UnitTests,319005,2016-12-19T11:54:17Z,SUCCESS
AMS.UnitTests,136824,2016-12-16T10:59:34Z,SUCCESS
AMS.UnitTests,121331,2016-12-15T13:56:35Z,SUCCESS
AMS.UnitTests,124585,2016-12-15T12:08:59Z,SUCCESS
AMS.UnitTests,136220,2016-12-14T10:12:30Z,SUCCESS
AMS.UnitTests,139976,2016-12-12T15:24:26Z,SUCCESS
AMS.UnitTests,317117,2016-12-12T14:15:57Z,SUCCESS
AMS.UnitTests,326046,2016-12-12T11:30:21Z,SUCCESS
AMS.UnitTests,125139,2016-12-12T11:14:27Z,SUCCESS
AMS.UnitTests,350560,2016-12-12T10:44:32Z,SUCCESS
AMS.UnitTests,340739,2016-12-09T16:18:48Z,SUCCESS
AMS.UnitTests,170581,2016-12-09T15:25:15Z,SUCCESS
AMS.UnitTests,132760,2016-12-09T15:14:12Z,SUCCESS
AMS.UnitTests,142098,2016-12-09T14:23:17Z,SUCCESS
AMS.UnitTests,308397,2016-12-09T12:51:16Z,SUCCESS
AMS.UnitTests,237133,2016-12-09T12:41:38Z,SUCCESS
AMS.UnitTests,327795,2016-12-09T12:12:54Z,SUCCESS
AMS.UnitTests,120183,2016-12-06T17:03:39Z,SUCCESS
AMS.UnitTests,312969,2016-12-06T12:55:04Z,SUCCESS
AMS.UnitTests,321667,2016-12-06T12:36:04Z,SUCCESS
AMS.UnitTests,137518,2016-12-06T11:37:52Z,SUCCESS
AMS.UnitTests,128815,2016-12-06T11:28:59Z,SUCCESS
AMS.UnitTests,130947,2016-12-02T11:02:41Z,SUCCESS
AMS.UnitTests,125254,2016-12-01T15:14:55Z,SUCCESS
AMS.UnitTests,279258,2016-11-30T16:45:14Z,SUCCESS
AMS.UnitTests,129774,2016-11-30T16:40:51Z,SUCCESS
AMS.UnitTests,321045,2016-11-30T15:37:04Z,SUCCESS
AMS.UnitTests,142246,2016-11-30T15:03:10Z,SUCCESS
AMS.UnitTests,313582,2016-11-30T12:21:58Z,SUCCESS
AMS.UnitTests,122249,2016-11-30T11:03:21Z,SUCCESS
AMS.UnitTests,303423,2016-11-30T09:48:19Z,SUCCESS
AMS.UnitTests,123676,2016-11-30T08:44:35Z,SUCCESS
AMS.UnitTests,184492,2016-11-29T09:05:17Z,SUCCESS
AMS.UnitTests,128248,2016-11-29T09:02:27Z,SUCCESS
AMS.UnitTests,123927,2016-11-29T08:31:04Z,SUCCESS
AMS.UnitTests,126864,2016-11-28T15:11:00Z,SUCCESS
AMS.UnitTests,129597,2016-11-25T15:45:24Z,SUCCESS
AMS.UnitTests,129126,2016-11-25T11:11:29Z,SUCCESS
AMS.UnitTests,304464,2016-11-22T15:45:52Z,SUCCESS
AMS.UnitTests,322904,2016-11-22T14:52:11Z,SUCCESS
AMS.UnitTests,280709,2016-11-22T14:24:24Z,SUCCESS
AMS.UnitTests,322505,2016-11-22T13:56:07Z,SUCCESS
AMS.UnitTests,119177,2016-11-22T12:20:44Z,SUCCESS
AMS.UnitTests,103332,2016-11-22T11:56:38Z,SUCCESS
AMS.UnitTests,129752,2016-11-22T11:07:23Z,SUCCESS
